,本部変電所,地域共同変電所,大学会館変電所,図書館変電所,体育施設変電所
254,10.0,20.0,120.0,40.0,10.0
255,30.0,30.0,80.0,50.0,10.0
256,30.0,20.0,70.0,60.0,40.0
257,30.0,20.0,70.0,50.0,60.0
258,20.0,20.0,60.0,60.0,60.0
259,30.0,20.0,60.0,50.0,60.0
260,20.0,10.0,50.0,50.0,40.0
261,10.0,20.0,30.0,30.0,20.0
262,20.0,10.0,40.0,0.0,10.0
263,10.0,10.0,30.0,10.0,10.0
264,20.0,10.0,20.0,10.0,10.0
265,10.0,10.0,30.0,0.0,0.0
266,10.0,10.0,30.0,10.0,10.0
267,20.0,10.0,30.0,10.0,10.0
268,10.0,10.0,30.0,10.0,10.0
269,10.0,20.0,40.0,0.0,0.0
270,10.0,10.0,30.0,10.0,10.0
271,10.0,10.0,30.0,0.0,0.0
272,10.0,10.0,60.0,30.0,10.0
273,20.0,20.0,100.0,50.0,10.0
274,10.0,30.0,130.0,40.0,0.0
275,10.0,20.0,140.0,40.0,10.0
276,10.0,30.0,160.0,40.0,10.0
277,20.0,20.0,140.0,40.0,0.0
278,20.0,30.0,120.0,50.0,20.0
279,20.0,20.0,80.0,50.0,20.0
280,20.0,20.0,70.0,50.0,30.0
281,30.0,20.0,70.0,60.0,70.0
282,20.0,20.0,60.0,50.0,90.0
283,30.0,20.0,50.0,60.0,70.0
284,20.0,10.0,50.0,50.0,50.0
285,20.0,10.0,40.0,30.0,20.0
286,10.0,10.0,30.0,0.0,20.0
287,20.0,10.0,30.0,10.0,10.0
288,10.0,10.0,30.0,10.0,0.0
289,10.0,10.0,30.0,0.0,10.0
290,10.0,10.0,30.0,10.0,10.0
291,20.0,10.0,30.0,10.0,10.0
292,10.0,10.0,30.0,0.0,0.0
293,10.0,10.0,40.0,10.0,10.0
294,10.0,10.0,40.0,30.0,10.0
295,10.0,10.0,30.0,30.0,0.0
296,20.0,10.0,60.0,40.0,10.0
297,10.0,30.0,90.0,40.0,0.0
298,10.0,20.0,140.0,40.0,10.0
299,10.0,20.0,160.0,50.0,10.0
300,10.0,30.0,160.0,40.0,10.0
301,20.0,20.0,150.0,50.0,10.0
302,20.0,30.0,120.0,40.0,10.0
303,20.0,30.0,90.0,60.0,30.0
304,20.0,20.0,70.0,50.0,50.0
305,30.0,30.0,70.0,60.0,50.0
306,20.0,20.0,80.0,50.0,70.0
307,20.0,20.0,70.0,60.0,50.0
308,30.0,20.0,50.0,50.0,50.0
309,10.0,10.0,40.0,30.0,30.0
310,20.0,20.0,40.0,0.0,10.0
311,10.0,10.0,30.0,10.0,10.0
312,20.0,10.0,30.0,10.0,10.0
313,10.0,10.0,30.0,0.0,0.0
314,10.0,0.0,30.0,10.0,10.0
315,20.0,10.0,30.0,10.0,10.0
316,10.0,10.0,30.0,0.0,10.0
317,10.0,10.0,40.0,10.0,0.0
318,10.0,10.0,40.0,10.0,10.0
319,20.0,10.0,40.0,0.0,10.0
320,30.0,10.0,60.0,40.0,10.0
321,30.0,20.0,110.0,60.0,0.0
322,30.0,30.0,120.0,50.0,10.0
323,30.0,20.0,130.0,60.0,20.0
324,30.0,30.0,130.0,60.0,20.0
325,40.0,30.0,120.0,50.0,20.0
326,30.0,30.0,90.0,60.0,20.0
327,40.0,30.0,70.0,60.0,30.0
328,30.0,20.0,70.0,60.0,40.0
329,30.0,30.0,60.0,50.0,50.0
330,30.0,20.0,60.0,60.0,50.0
