,教養学部変電所,教育学部変電所,経済学部変電所
318,100.0,70.0,20.0
319,100.0,70.0,10.0
320,100.0,100.0,20.0
321,200.0,170.0,30.0
322,100.0,190.0,30.0
323,200.0,190.0,30.0
324,200.0,200.0,40.0
325,200.0,200.0,40.0
326,200.0,170.0,50.0
327,200.0,150.0,40.0
328,200.0,150.0,30.0
329,200.0,130.0,30.0
330,100.0,100.0,30.0
331,100.0,90.0,20.0
332,100.0,80.0,20.0
333,100.0,70.0,20.0
334,100.0,60.0,10.0
335,100.0,70.0,20.0
336,100.0,60.0,10.0
337,0.0,70.0,10.0
338,100.0,60.0,20.0
339,100.0,60.0,10.0
340,100.0,60.0,10.0
341,0.0,70.0,20.0
342,100.0,60.0,10.0
343,100.0,80.0,20.0
344,200.0,120.0,20.0
345,200.0,180.0,20.0
346,200.0,210.0,30.0
347,200.0,220.0,30.0
348,200.0,240.0,40.0
349,200.0,210.0,30.0
350,300.0,180.0,40.0
351,200.0,140.0,40.0
352,200.0,130.0,30.0
353,200.0,140.0,30.0
354,100.0,110.0,30.0
355,100.0,90.0,20.0
356,100.0,90.0,20.0
357,100.0,70.0,10.0
358,100.0,70.0,20.0
359,100.0,60.0,10.0
360,100.0,60.0,10.0
361,0.0,60.0,20.0
362,100.0,60.0,10.0
363,100.0,60.0,10.0
364,100.0,70.0,20.0
365,100.0,60.0,10.0
366,0.0,60.0,10.0
367,100.0,60.0,10.0
368,100.0,60.0,10.0
369,100.0,80.0,10.0
370,100.0,70.0,10.0
371,100.0,80.0,0.0
372,100.0,70.0,0.0
373,100.0,80.0,0.0
374,100.0,70.0,10.0
375,100.0,70.0,0.0
376,100.0,80.0,20.0
377,100.0,70.0,10.0
378,0.0,70.0,10.0
379,100.0,70.0,20.0
380,100.0,60.0,10.0
381,100.0,70.0,20.0
382,100.0,70.0,10.0
383,0.0,60.0,10.0
384,100.0,60.0,10.0
385,100.0,70.0,20.0
386,100.0,60.0,10.0
387,100.0,60.0,10.0
388,0.0,60.0,20.0
389,100.0,60.0,10.0
390,100.0,60.0,10.0
391,100.0,70.0,10.0
392,100.0,60.0,10.0
393,200.0,70.0,10.0
394,100.0,70.0,0.0
395,100.0,60.0,0.0
396,100.0,70.0,10.0
397,100.0,70.0,10.0
398,100.0,80.0,0.0
399,100.0,70.0,20.0
400,100.0,80.0,10.0
401,100.0,70.0,10.0
402,100.0,70.0,20.0
403,100.0,70.0,10.0
404,100.0,60.0,20.0
405,0.0,70.0,10.0
406,100.0,70.0,10.0
407,100.0,60.0,20.0
408,100.0,60.0,10.0
409,100.0,70.0,10.0
410,0.0,60.0,20.0
411,100.0,60.0,10.0
412,100.0,60.0,10.0
413,100.0,60.0,10.0
414,0.0,70.0,20.0
415,100.0,70.0,10.0
416,200.0,110.0,10.0
417,200.0,180.0,20.0
418,200.0,200.0,20.0
419,200.0,230.0,30.0
420,300.0,250.0,50.0
421,200.0,250.0,40.0
422,200.0,230.0,50.0
423,300.0,180.0,40.0
424,200.0,180.0,40.0
425,100.0,150.0,40.0
426,200.0,130.0,30.0
427,100.0,130.0,30.0
428,100.0,100.0,20.0
429,100.0,90.0,30.0
430,100.0,70.0,10.0
431,100.0,70.0,20.0
432,0.0,80.0,10.0
